Comment,Language,Sentiment,Polarity,Most Common Keyword,Positive,Neutral,Negative
you really deserve 1M subscriber....from NEPAL,en,Positive,0.2,you,73.53%,24.12%,2.35%
Thanks a lot sir ,en,Positive,0.2,you,73.53%,24.12%,2.35%
Omg you teach in best and perfect form . Thanks so much sir,en,Positive,0.6000000000000001,you,73.53%,24.12%,2.35%
The content is really great with a nice explanation of each concept. It helped me a lot.,en,Positive,0.7,a,73.53%,24.12%,2.35%
Thank you so much sir,en,Positive,0.2,you,73.53%,24.12%,2.35%
Amazing sir....pls bring 25 more questions of javascript...it will be really very helpful for us.,en,Positive,0.43333333333333335,sir,73.53%,24.12%,2.35%
Awesome perfect explanation...,en,Positive,1.0,sir,73.53%,24.12%,2.35%
"Nice content keep going 
Thanks for sharing knowledge ",en,Positive,0.4,sir,73.53%,24.12%,2.35%
Thank you for making this topics clear and simple!,en,Positive,0.05000000000000001,you,73.53%,24.12%,2.35%
Happy teachers day sir,en,Positive,0.8,sir,73.53%,24.12%,2.35%
"Bro, you are a fantastic teacher",en,Positive,0.4,you,73.53%,24.12%,2.35%
Thank you so much sir,en,Positive,0.2,you,73.53%,24.12%,2.35%
"Thank you sir, you're very good. Greetings from Serbia.",en,Positive,0.9099999999999999,you,73.53%,24.12%,2.35%
Please make javascript interview series for experienced candidate.plzz ,en,Positive,0.8,you,73.53%,24.12%,2.35%
Great! God Bless you and me also please! Thank you!,en,Positive,1.0,you,73.53%,24.12%,2.35%
Sir please continue to second part  waiting for our updates,en,Neutral,0.0,you,73.53%,24.12%,2.35%
Keep the playback has 1.5x easy to catch up!!,en,Positive,0.6770833333333335,you,73.53%,24.12%,2.35%
https://manish9427.blogspot.com/2023/08/javascript-interview-questions.html,en,Neutral,0.0,you,73.53%,24.12%,2.35%
Amazing sir I had search lot of videos but this video is really much helpful keep growing sir ,en,Positive,0.4,you,73.53%,24.12%,2.35%
sir please continue the series ..,en,Neutral,0.0,you,73.53%,24.12%,2.35%
thank you!!!,en,Neutral,0.0,you,73.53%,24.12%,2.35%
"Amazing video for interview, thanks a lot ",en,Positive,0.4,you,73.53%,24.12%,2.35%
Very informative.,en,Positive,0.2,you,73.53%,24.12%,2.35%
"This is a really really helpful video, there is no video on YouTube which covers mostly all concepts in a single video. Thanks a lot for this.
Informative, Detailed and Great explanation with examples. Hats off",en,Positive,0.33809523809523806,you,73.53%,24.12%,2.35%
why the question about hoisting is not a one of important questions? It is asked by interviewers in most of interviews and you forgot to talk about let and const in hoisting,en,Positive,0.45,you,73.53%,24.12%,2.35%
Thank you sir....amazing video and helpful too,en,Neutral,0.0,you,73.53%,24.12%,2.35%
Was helpful,en,Neutral,0.0,you,73.53%,24.12%,2.35%
Lots of respect for your hard work and great content. ,en,Positive,0.25416666666666665,you,73.53%,24.12%,2.35%
Thank you  sir. You are great.,en,Positive,0.8,you,73.53%,24.12%,2.35%
"Sir i need a video for advanced Javascript questions mostly asked by interviewers like Closure, Hoisting, Callback Hell, Async & Await and how document object actually works with different different event listners. Thank you for this video..Lovely content ",en,Positive,0.18,you,73.53%,24.12%,2.35%
Amazing explanation ,en,Positive,0.6000000000000001,you,73.53%,24.12%,2.35%
Hello Pls share roadmap of full-stack  dotnet with angular course,en,Neutral,0.0,you,73.53%,24.12%,2.35%
Fabulous..,en,Positive,0.4,you,73.53%,24.12%,2.35%
Thank you sir This short video covered each and every Concept thanks a lot sir for your advice of not giving up ,en,Positive,0.1,you,73.53%,24.12%,2.35%
very good content,en,Positive,0.9099999999999999,you,73.53%,24.12%,2.35%
can u please video on HTML & CSS interview questions,en,Neutral,0.0,you,73.53%,24.12%,2.35%
Best teaching ,en,Positive,1.0,you,73.53%,24.12%,2.35%
Tqsm sir i feel I know javascript after watching ur video. ,en,Neutral,0.0,you,73.53%,24.12%,2.35%
https://youtu.be/_eOef3YpQdo,en,Neutral,0.0,you,73.53%,24.12%,2.35%
Very Helpfull Thanks a lot bhaiya ,en,Positive,0.2,you,73.53%,24.12%,2.35%
Great short course with clear concepts. Thanks alot for making such a video.,en,Positive,0.22000000000000003,you,73.53%,24.12%,2.35%
This video is very helpful for interview preparation.sir please make more videos on javascript and react interview questions.,en,Positive,0.35,you,73.53%,24.12%,2.35%
Extremely Helpful ,en,Negative,-0.125,you,73.53%,24.12%,2.35%
"very useful, keep rocking",en,Positive,0.39,you,73.53%,24.12%,2.35%
"super sir> please make a video HTML,CSS,JS - interview purps",en,Positive,0.3333333333333333,you,73.53%,24.12%,2.35%
Exlent presentation,fr,Neutral,0.0,you,73.53%,24.12%,2.35%
Thank you!,en,Neutral,0.0,you,73.53%,24.12%,2.35%
Simple yet amazing explanation ,xh,Positive,0.30000000000000004,you,73.53%,24.12%,2.35%
No words !!!,nl,Neutral,0.0,you,73.53%,24.12%,2.35%
"Amazing content! I am preparing for interviews and this is very helpful, so precisely explained. Would love to see part2 :) 
Thankyou in advance",en,Positive,0.47000000000000003,you,73.53%,24.12%,2.35%
please  upload intermediate level js interview questions sir,en,Neutral,0.0,you,73.53%,24.12%,2.35%
Thankyou Sir You increase my confidence of js,en,Neutral,0.0,you,73.53%,24.12%,2.35%
Thanks happy for make me happy.I am your new subscriber,en,Positive,0.37878787878787873,you,73.53%,24.12%,2.35%
after watching the entire video you deserve my respect',en,Neutral,0.0,you,73.53%,24.12%,2.35%
